@T,table
Created,2016-03-04 20:46
Author,HortonMachine library
@H,timestamp,value_136,value_162,value_131,value_133,value_132,value_135,value_134,value_152,value_153,value_154,value_156,value_159,value_144,value_146,value_124,value_182,value_148,value_149,value_150,value_121
ID,,136,162,131,133,132,135,134,152,153,154,156,159,144,146,124,182,148,149,150,121
Type,Date,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double
Format,yyyy-MM-dd HH:mm,,,,,,,,,,,,,,,,,,,,
,2002-01-01 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,2002-01-01 01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,2002-01-01 02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,2002-01-01 03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,2002-01-01 04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,2002-01-01 05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,2002-01-01 06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,2002-01-01 07:00,11.887849103507778,9.572074679918893,15.857770100302538,14.394194914263418,-9999,25.850314980549886,27.20617095127584,-9999,13.464579457381493,12.852857654479712,5.19590061758065,1.8123284914489446,20.639235821088107,24.536124250472007,4.822927270438292,3.979397609982032,9.058347994318066,8.928593166700878,9.156333488951692,-9999
,2002-01-01 08:00,138.1928629329653,127.3653676315655,153.97165582397326,145.34104475634362,-9999,181.17538048264672,186.59297169802986,-9999,142.8316349718333,147.11999316753122,121.12915518475003,112.95971991859778,161.39863543137452,182.39147017901638,119.66191550721399,118.0142010643092,131.05831376438252,130.8904059537959,131.68913317907155,-9999
,2002-01-01 09:00,278.8083576649222,260.6533723652054,302.4702029559931,286.6041864803378,-9999,329.9235263140639,338.83965477776496,-9999,284.0480795724223,297.4397123774002,263.17114380253076,255.9659970420557,302.07302651386954,338.68760874605886,261.3536563417682,259.5345918110918,272.393723737793,272.442176301424,273.3846206755766,18.09923051495885
,2002-01-01 10:00,386.4657496135618,362.1898146257655,415.196005580176,392.80988085827425,-9999,436.8364351966055,447.7014851214219,60.82990259330733,391.22353006789785,415.03039874535375,376.3584907774152,372.3259978431557,402.8329828219034,453.87325043727606,374.5424471300858,372.94944312853784,382.4178530918415,382.9724994089254,383.9584072135588,60.25274233516819

